Title;Name;Singer;Time;Name Gender;Singer Gender
Dans les yeux d'Emilie;Emilie;Joe Dassin;03:44;Female;Male
Mathilde;Mathilde;Jacques Brel;02:34;Female;Male
Goodbye Marylou;Marylou;Michel Polnareff;06:21;Female;Male
Léa;Léa;Louise Attaque;03:18;Female;Male
Marlène;Noir Désir;Noir Désir;03:04;Female;Male
Vanina Runaway;Vanina;Dave;03:12;Female;Male
Elisa;Elisa;Jane Birkin, Serge Gainsbourg;02:30;Female;All
Andy;Andy;Les Rita Mitsouko;06:13;Male;Female
Gaby oh Gaby;Gaby;Alain Bashung;03:55;Female;Female
Manu;Manu;Renaud;02:42;Male;Male
Germaine;Germaine;Renaud;03:14;Male;Female
Alice;Alice;Têtes Raides;03:11;Female;Male
Ginette;Ginette;Têtes Raides;03:41;Female;Male
Ernestine;Ernestine;Noir Désir;04:41;Female;Male
Osez Joséphine;Joséphine;Alain Bashung;02:58;Female;Male
Marie La Rouquine;Marie;Pigalle;02:17;Female;Male
Chez Laurette;Laurette;Michel Delpech;03:31;Female;Male
Félicie Aussi;Félcie;Fernandel;02:40;Female;Male
Mathias;Mathias;Gribouille;02:08;Male;Female
Pauvre Martin;Martin;Georges Brassens;01:36;Male;Male
Pauvre Martin;Martin;Têtes Raides;01:44;Male;Male
Cécile ma fille;Cécile;Claude Nougarou;03:30;Female;Male
Eve lève-toi;Eve;Julie Pietri;04:32;Female;Female
Bonnie And Clyde;Bonnie, Clyde;Brigitte Bardot, Serge Gainsbourg;04:16;All;All
Ibrahim;Ibrahim;Bérurier Noir;02:53;Male;Male
Jocelyne;Jocelyne;Tryo;02:44;Male;Male
Jojo;Jojo;Jacques Brel;03:16;Male;Male
Alice;Alice;Noir Désir;02:35;Female;Male
Madeleine;Madeleine;Jacques Brel;02:39;Female;Male
Jef;Jef;Jacques Brel;03:36;Male;Male
Fernand;Fernand;Jacques Brel;05:16;Male;Male
Miss Maggie;Maggie;Renaud;04:15;Female;Male
Rose;Rose;Miossec;03:16;Female;Male
Marcia Baila;Marcia;Les Rita Mitsouko;06:10;Female;Female
Martin;Martin;La Grande Sophie;02:55;Male;Female
Dominique;Dominique;Sœur sourire;03:15;Male;Female
Johnny;Johnny;Bratsch;04:13;Male;Male
Frida;Frida;Sanseverino;04:08;Female;Male
Marcel;Marcel;Sanseverino;05:27;Male;Male
André;André;Sanseverino;04:00;Male;Male
Lucille;Lucille;Michel Jonasz;03:56;Female;Male
José;José;Anis;04:11;Male;Male
Louise et Thelma;Louise, Thelma;Anis;06:05;Female;Male
Cousin Willy;Willy;Tété;02:59;Male;Male
Fais-Moi Mal, Johny;Johny;Carmen Maria Vega;02:46;Male;Female
Marcelle;Marcelle;Boby Lapointe;01:12;Female;Male
Léna;Léna;Boby Lapointe;01:34;Female;Male
Mireille;Mireille;Dick Annegarn;01:58;Female;Male
Annabelle;Annabelle;Arthur H;03:34;Female;Male
Marinette;Marinette;Georges Brassens;02:16;Female;Male
Nina;Nina;Babylon Circus;03:21;Female;Male
Suzette;Suzette;Dany Brillant;03:51;Female;Male
